Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-01-01,AAPL,75.69,76.24,74.54,75.75,75.75,47658466
2020-01-02,AAPL,75.99,76.57,75.04,75.39,75.39,55425600
2020-01-03,AAPL,74.52,74.87,73.09,74.69,74.69,32750821
2020-01-04,AAPL,73.48,74.08,72.81,73.85,73.85,35876962
2020-01-05,AAPL,75.93,76.07,74.85,76.02,76.02,44556172
2020-01-06,AAPL,75.75,76.47,75.29,76.19,76.19,47083062
2020-01-07,AAPL,75.97,75.98,74.47,75.27,75.27,58225449
2020-01-08,AAPL,73.51,74.95,72.46,73.43,73.43,51968612
2020-01-09,AAPL,74.58,74.67,74.29,74.52,74.52,35214780
2020-01-10,AAPL,73.27,74.22,73.02,73.44,73.44,32369598
2020-01-11,AAPL,73.78,74.42,73.32,73.92,73.92,60309995
2020-01-12,AAPL,74.98,75.53,74.73,75.3,75.3,59755451
2020-01-13,AAPL,74.5,75.4,73.61,74.57,74.57,58125258
2020-01-14,AAPL,76.57,77.36,76.29,76.6,76.6,43548802
2020-01-15,AAPL,77.74,77.77,75.94,77.15,77.15,23802548
2020-01-16,AAPL,78.45,78.69,78.35,78.42,78.42,30124310
2020-01-17,AAPL,78.21,79.37,77.67,78.07,78.07,41915063
2020-01-18,AAPL,77.64,77.9,76.88,77.29,77.29,55132674
2020-01-19,AAPL,77.82,78.36,77.19,77.44,77.44,46078918
2020-01-20,AAPL,75.28,75.48,75.17,75.17,75.17,47654128
2020-01-21,AAPL,72.89,73.3,72.31,73.05,73.05,48387142
2020-01-22,AAPL,74.33,74.46,73.45,73.64,73.64,49255540
2020-01-23,AAPL,70.8,70.85,69.06,70.81,70.81,48076390
2020-01-24,AAPL,71.22,72.07,70.41,71.24,71.24,57519330
2020-01-25,AAPL,72.03,73.38,71.03,72.36,72.36,55868570
2020-01-26,AAPL,75.16,75.96,75.09,75.53,75.53,44965243
2020-01-27,AAPL,73.22,73.99,72.84,73.19,73.19,40805757
2020-01-28,AAPL,75.16,75.7,74.55,75.46,75.46,37691356
2020-01-29,AAPL,76.3,77.53,75.66,75.8,75.8,52598827
2020-01-30,AAPL,76.51,78.01,76.11,76.99,76.99,52969846
2020-01-31,AAPL,77.51,78.04,77.2,77.37,77.37,52930724
2020-02-01,AAPL,76.98,77.35,75.36,76.27,76.27,56565536
2020-02-02,AAPL,75.08,75.95,74.17,74.78,74.78,59633761
2020-02-03,AAPL,75.71,77.15,75.21,75.4,75.4,42462638
2020-02-04,AAPL,73.76,74.12,73.5,74.06,74.06,52766907
2020-02-05,AAPL,75.29,76.38,75.08,75.28,75.28,77201691
2020-02-06,AAPL,75.9,77.04,75.53,76.23,76.23,47765372
2020-02-07,AAPL,77.5,77.55,76.66,77.31,77.31,34851527
2020-02-08,AAPL,76.95,77.12,75.67,76.62,76.62,51731809
2020-02-09,AAPL,76.87,77.33,76.83,77.21,77.21,38570297
2020-02-10,AAPL,77.98,78.83,76.95,77.77,77.77,36223306
2020-02-11,AAPL,76.5,76.9,75.92,76.31,76.31,88527314
2020-02-12,AAPL,77.62,78.36,76.68,77.18,77.18,46847307
2020-02-13,AAPL,78.05,78.54,77.67,78.35,78.35,50818741
2020-02-14,AAPL,81.21,82.54,79.9,81.98,81.98,45280681
2020-02-15,AAPL,83.79,84.69,83.16,83.76,83.76,56795977
2020-02-16,AAPL,82.63,82.67,82.0,82.54,82.54,71439440
2020-02-17,AAPL,82.74,83.74,82.19,83.59,83.59,58524333
2020-02-18,AAPL,82.21,82.68,81.5,82.26,82.26,37997035
2020-02-19,AAPL,81.52,82.25,80.08,81.71,81.71,54049817
2020-02-20,AAPL,80.02,81.71,78.83,79.65,79.65,34806300
